Batch Request Testing: A single HTTP request contains multiple prompts
Payload Size,Concurrency,TPU v6e Megakernel (FP32) Throughput,TPU v6e Megakernel (FP32) p50,TPU v6e Megakernel (FP32) p99,Zhemin TPU v5e (FP32) Throughput,Zhemin TPU v5e (FP32) p50,Zhemin TPU v5e (FP32) p99
1KB (1024 chars),1,116.3/s,8.4ms,10.0ms,85.8/s,11.5ms,12.7ms
1KB (1024 chars),4,213.8/s,19.1ms,25.3ms,187.4/s,21.2ms,22.8ms
1KB (1024 chars),8,269.9/s,27.3ms,49.6ms,187.6/s,42.5ms,44.5ms
1KB (1024 chars),16,281.7/s,57.0ms,78.4ms,186.8/s,85.4ms,89.9ms
2KB (2048 chars),1,92.7/s,10.6ms,12.0ms,59.5/s,16.5ms,17.7ms
2KB (2048 chars),4,125.6/s,32.1ms,39.0ms,97.7/s,40.7ms,42.8ms
2KB (2048 chars),8,203.3/s,38.1ms,60.0ms,96.6/s,82.6ms,86.0ms
2KB (2048 chars),16,202.4/s,77.4ms,97.2ms,96.5/s,165.9ms,171.2ms

1KB Dedicated Saturation
RPS,TPU v6e Megakernel Achieved,TPU v6e Megakernel P50,TPU v6e Megakernel P99,TPU v6e Megakernel SLA,Zhemin TPU v5e Achieved,Zhemin TPU v5e P50,Zhemin TPU v5e P99,Zhemin TPU v5e SLA
100,99.99,8.6 ms,10.1 ms,✅ PASS,100,11.5 ms,14.0 ms,✅ PASS
120,119.97,8.7 ms,12.4 ms,✅ PASS,120,11.8 ms,15.5 ms,✅ PASS
140,139.94,11.0 ms,12.6 ms,✅ PASS,140,11.6 ms,18.5 ms,✅ PASS
160,159.91,10.6 ms,12.3 ms,✅ PASS,160,16.8 ms,24.2 ms,✅ PASS
180,179.89,10.4 ms,12.7 ms,✅ PASS,180.1,19.9 ms,29.6 ms,✅ PASS
190,189.86,10.5 ms,15.4 ms,✅ PASS,187.8,523.7 ms,762.7 ms,⚠️ SATURATED
200,199.88,13.3 ms,38.8 ms,✅ PASS,189,1709 ms,2818 ms,⚠️ SATURATED
205,204.53,24.0 ms,45.0 ms,✅ PASS,-,-,-,⚠️ SATURATED
210,209.64,11.5 ms,39.8 ms,✅ PASS,-,-,-,⚠️ SATURATED
215,214.68,20.7 ms,36.8 ms,✅ PASS (Max <50ms Ceiling),-,-,-,⚠️ SATURATED
220,219.08,28.7 ms,77.0 ms,⚠️ SATURATED,187.9,3738 ms,6182 ms,⚠️ SATURATED

2KB Dedicated Saturation
RPS,TPU v6e Megakernel Achieved,TPU v6e Megakernel P50,TPU v6e Megakernel P99,TPU v6e Megakernel SLA,Zhemin TPU v5e Achieved,Zhemin TPU v5e P50,Zhemin TPU v5e P99,Zhemin TPU v5e SLA
90,89.99,10.7 ms,12.9 ms,✅ PASS,90,17.2 ms,26.5 ms,✅ PASS
95,94.99,10.7 ms,12.7 ms,✅ PASS,94.75,218.6 ms,346.5 ms,⚠️ SATURATED
100,99.98,11.7 ms,15.4 ms,✅ PASS,96.32,1031 ms,2185 ms,⚠️ SATURATED
110,109.95,13.7 ms,15.1 ms,✅ PASS,96.74,3208 ms,5170 ms,⚠️ SATURATED
120,119.94,12.9 ms,14.3 ms,✅ PASS,-,-,-,⚠️ SATURATED
130,129.92,12.4 ms,13.8 ms,✅ PASS,-,-,-,⚠️ SATURATED
140,139.92,12.2 ms,14.2 ms,✅ PASS,-,-,-,⚠️ SATURATED
150,149.91,12.2 ms,15.4 ms,✅ PASS,-,-,-,⚠️ SATURATED
155,154.9,12.8 ms,22.3 ms,✅ PASS (Max <50ms Ceiling),-,-,-,⚠️ SATURATED
160,159.9,49.2 ms,111.2 ms,⚠️ SATURATED,-,-,-,⚠️ SATURATED
